Date,Convert Arb,Ded Short Bias,Emerging Markets,Eq Mkt Neutral,Event Driven,FI Rel Val,Fund Returns,Global Macro,L/S Equity,Managed Futures
10/31/2010,2.0%,-3.6%,2.2%,0.9%,1.8%,1.1%,1.9%,1.6%,2.0%,4.3%
11/30/2010,0.0%,-2.4%,-0.4%,-2.5%,0.1%,0.7%,-0.2%,-0.5%,0.5%,-4.1%
12/31/2010,1.2%,-5.9%,1.5%,1.7%,3.9%,0.6%,2.9%,2.7%,3.4%,5.4%
1/31/2011,2.2%,-0.8%,-0.4%,1.8%,1.8%,1.7%,0.7%,-0.8%,0.3%,-0.8%
2/28/2011,2.9%,-3.4%,-0.1%,0.5%,1.4%,0.9%,1.4%,1.3%,1.7%,2.6%
3/31/2011,-0.6%,-1.8%,2.1%,1.1%,-0.3%,-0.3%,0.1%,0.2%,0.3%,-2.8%
4/30/2011,0.1%,-2.7%,2.3%,3.4%,1.1%,0.9%,1.8%,2.5%,1.7%,5.4%
5/31/2011,0.0%,2.2%,-1.1%,-1.0%,-0.6%,0.2%,-1.0%,-0.6%,-1.7%,-4.4%
6/30/2011,-0.9%,1.6%,-0.6%,-0.3%,-2.2%,0.1%,-1.4%,-1.1%,-1.5%,-3.1%
7/31/2011,-0.1%,3.0%,1.7%,-0.2%,-0.8%,0.6%,0.7%,2.5%,-0.4%,4.0%
8/31/2011,-1.7%,6.6%,-3.2%,-0.9%,-5.4%,-0.3%,-2.3%,1.9%,-4.4%,0.2%
9/30/2011,-1.8%,8.5%,-7.5%,-2.2%,-5.1%,-0.2%,-3.2%,-0.1%,-5.2%,-0.8%
10/31/2011,1.2%,-9.6%,3.7%,2.8%,2.6%,0.1%,1.7%,0.2%,4.5%,-5.1%
11/30/2011,-0.6%,-0.2%,-2.7%,0.1%,-1.1%,0.5%,-0.8%,0.0%,-1.5%,0.2%
12/31/2011,0.6%,1.6%,-0.7%,-0.5%,-0.8%,0.4%,-0.2%,0.4%,-0.9%,0.8%
1/31/2012,2.4%,-7.6%,3.7%,0.2%,2.8%,1.2%,2.3%,1.2%,3.9%,1.1%
2/29/2012,1.9%,-4.7%,2.9%,1.3%,1.6%,1.0%,1.6%,0.8%,2.6%,1.2%
3/31/2012,0.6%,-1.4%,-0.7%,-0.2%,0.8%,0.7%,0.0%,-0.4%,0.5%,-3.0%
4/30/2012,-0.2%,-2.5%,0.2%,-0.4%,-0.2%,0.7%,0.0%,-0.2%,-0.5%,0.4%
5/31/2012,-0.8%,9.0%,-3.8%,-3.2%,-1.3%,0.2%,-1.3%,0.2%,-4.5%,2.4%
6/30/2012,0.3%,-2.7%,-0.1%,0.9%,-0.2%,0.8%,-0.4%,-1.4%,0.3%,-3.6%
7/31/2012,0.9%,-0.4%,1.0%,-0.4%,0.7%,1.6%,1.4%,2.1%,0.5%,4.7%
8/31/2012,0.4%,-4.2%,0.8%,1.2%,1.2%,1.0%,0.8%,0.4%,1.5%,-1.6%
9/30/2012,0.4%,-3.8%,2.2%,0.6%,1.7%,1.3%,1.0%,0.6%,1.6%,-1.4%
10/31/2012,0.3%,-0.1%,0.4%,-0.4%,0.9%,0.9%,-0.2%,-0.7%,-0.2%,-4.6%
11/30/2012,0.2%,-0.4%,1.1%,0.4%,0.3%,0.5%,0.6%,0.7%,0.7%,0.6%
12/31/2012,1.4%,-3.0%,2.4%,0.9%,2.0%,0.7%,1.5%,1.3%,1.6%,1.1%
1/31/2013,2.0%,-5.2%,3.5%,2.0%,2.1%,1.1%,2.1%,0.9%,3.5%,2.7%
2/28/2013,-0.1%,-1.7%,0.5%,-1.3%,0.5%,0.5%,0.2%,0.3%,0.1%,-0.8%
3/31/2013,0.7%,-1.9%,0.5%,0.0%,2.1%,0.6%,1.2%,1.0%,1.4%,1.7%
4/30/2013,0.1%,-3.5%,1.6%,1.0%,1.2%,0.3%,1.4%,1.8%,1.3%,3.5%
5/31/2013,1.3%,-1.5%,-0.2%,0.4%,2.3%,0.0%,0.4%,-0.1%,1.2%,-5.0%
6/30/2013,-0.3%,0.8%,-2.6%,0.6%,-1.3%,-1.1%,-1.7%,-2.5%,-0.6%,-5.4%
7/31/2013,-0.1%,-5.7%,-0.1%,2.0%,1.5%,0.4%,0.9%,0.3%,2.0%,-1.1%
8/31/2013,0.7%,0.0%,-0.2%,-1.7%,0.0%,0.2%,-0.5%,-0.9%,-1.1%,-2.8%
9/30/2013,0.2%,-5.5%,1.3%,0.9%,1.5%,0.5%,1.3%,0.8%,2.6%,-0.1%
10/31/2013,0.9%,-1.6%,2.0%,1.2%,1.4%,0.6%,1.6%,1.0%,2.5%,3.0%
11/30/2013,-0.2%,-1.5%,1.1%,2.6%,1.7%,0.5%,1.3%,1.0%,1.8%,2.1%
12/31/2013,0.5%,-0.8%,1.3%,1.3%,1.6%,0.2%,1.2%,0.7%,1.8%,0.1%
1/31/2014,2.1%,-1.1%,-2.3%,0.1%,0.3%,1.0%,-0.3%,-1.1%,-0.1%,-3.4%
2/28/2014,0.1%,-3.7%,1.8%,0.3%,2.7%,0.7%,1.7%,0.7%,2.9%,0.9%
3/31/2014,0.2%,0.6%,-1.5%,-0.6%,-0.1%,0.4%,-0.5%,-0.2%,-1.2%,-1.8%
4/30/2014,0.3%,3.8%,-0.6%,-0.7%,0.0%,0.4%,-0.2%,0.0%,-1.0%,0.4%
5/31/2014,-0.5%,-1.1%,1.4%,-0.3%,1.1%,0.5%,1.1%,1.0%,1.5%,3.1%
6/30/2014,0.0%,-4.8%,1.1%,0.7%,1.7%,0.4%,1.0%,0.5%,1.0%,1.5%
7/31/2014,0.1%,2.0%,0.5%,-0.7%,-0.6%,0.3%,-0.3%,0.0%,-1.0%,-1.0%
8/31/2014,-0.3%,-3.1%,0.3%,0.0%,0.1%,0.2%,0.9%,1.1%,1.3%,5.0%
9/30/2014,-0.7%,4.7%,0.1%,-0.3%,-1.4%,0.4%,0.0%,0.5%,-0.2%,1.7%
10/31/2014,-1.8%,-4.0%,-1.1%,0.5%,-2.2%,-0.1%,-0.8%,-0.9%,0.0%,1.8%
11/30/2014,-0.1%,0.6%,1.7%,0.6%,0.6%,0.2%,1.5%,1.7%,1.9%,7.5%
12/31/2014,-1.1%,0.9%,0.2%,-0.7%,-0.5%,-0.1%,0.0%,-0.3%,0.4%,1.7%
1/31/2015,-0.2%,1.9%,0.7%,-0.4%,-1.0%,-0.8%,0.8%,2.7%,0.3%,6.0%
2/28/2015,1.0%,-5.7%,0.0%,-1.9%,2.2%,0.7%,1.1%,0.4%,2.0%,-1.2%
3/31/2015,-0.3%,-0.3%,0.7%,-0.2%,0.4%,-0.1%,0.6%,1.3%,-0.4%,2.4%
4/30/2015,2.7%,-3.9%,3.4%,-0.4%,0.8%,0.6%,0.0%,-0.7%,0.0%,-4.3%
5/31/2015,0.5%,-0.8%,0.4%,1.0%,0.8%,0.5%,0.8%,0.7%,2.1%,-0.8%
6/30/2015,-0.8%,-0.2%,-2.2%,1.5%,-1.2%,-0.2%,-1.3%,-1.8%,-0.5%,-5.8%
7/31/2015,-1.0%,3.9%,-2.0%,0.6%,0.2%,0.3%,0.9%,1.3%,1.5%,4.3%
8/31/2015,-0.2%,7.9%,-2.9%,1.0%,-2.8%,0.0%,-2.0%,-2.6%,-1.9%,-2.8%
9/30/2015,-0.3%,4.8%,-0.8%,0.6%,-3.4%,-0.5%,-1.4%,-1.6%,-1.1%,2.9%
10/31/2015,0.9%,-5.6%,2.8%,-0.6%,0.1%,-0.2%,0.5%,1.3%,1.7%,-2.5%
11/30/2015,-0.7%,-3.3%,0.2%,-1.0%,-1.2%,0.1%,0.2%,1.4%,-0.1%,3.7%
12/31/2015,-0.8%,4.8%,-0.1%,1.6%,-1.3%,0.1%,-0.8%,-2.0%,0.0%,-2.2%
